Trade,Opened,Closed,DIT,Description,Symbol,Planned_Capital,Maximum_Margin,Current_Margin,Profit_Loss,Yield_on_Max_Margin,Yield_on_Planned_Capital,Short_Strike_Delta,Position_Delta,Updated_Eastern,View_Details
60,2024-09-27,2024-10-04,7,TRADE 060 - 11Oct 2024 SPX A14,SPX,5014,5014,,191.76,0.0382,0.0382,,,4 Oct 2024 at 7:49 PM,
59,2024-09-20,2024-09-25,5,TRADE 059 - 4Oct 2024 SPX A14,SPX,3602,3602,,134.8,0.0374,0.0374,,,25 Sep 2024 at 4:38 PM,
58,2024-09-13,2024-09-18,5,TRADE 058 - 27Sep 2024 SPX A14,SPX,2376,2376,,57.84,0.0243,0.0243,,,18 Sep 2024 at 4:43 PM,
57,2024-09-06,2024-09-11,5,TRADE 057 - 20Sep 2024 SPX A14,SPX,2667,2667,,59.8,0.0224,0.0224,,,11 Sep 2024 at 4:30 PM,
56,2024-08-30,2024-09-09,10,TRADE 056 - 13Sep 2024 SPX A14,SPX,5756,5756,,-667.36,-0.1159,-0.1159,,,9 Sep 2024 at 11:39 AM,
55,2024-08-23,2024-08-26,3,TRADE 055 - 6Sep 2024 SPX A14,SPX,2556,2556,,117.84,0.0461,0.0461,,,26 Aug 2024 at 4:03 PM,
54,2024-08-16,2024-08-22,6,TRADE 054 - 30Aug 2024 SPX A14,SPX,3512,3512,,159.8,0.0455,0.0455,,,22 Aug 2024 at 3:06 PM,
53,2024-08-09,2024-08-12,3,TRADE 053 - 23Aug 2024 SPX A14,SPX,2416,2416,,127.84,0.0529,0.0529,,,12 Aug 2024 at 11:12 AM,
52,2024-08-02,2024-08-05,3,TRADE 052 - 16Aug 2024 SPX A14,SPX,2346,2346,,167.84,0.0715,0.0715,,,5 Aug 2024 at 12:41 PM,
51,2024-07-26,2024-07-31,5,TRADE 051 - 9Aug 2024 SPX A14,SPX,2346,2346,,117.84,0.0502,0.0502,,,31 Jul 2024 at 10:44 AM,
50,2024-07-19,2024-07-23,4,TRADE 050 - 2Aug 2024 SPX A14,SPX,3267,3267,,144.8,0.0443,0.0443,,,23 Jul 2024 at 12:42 PM,
49,2024-07-12,2024-07-23,11,TRADE 049 - 26Jul 2024 SPX A14,SPX,4703,4703,,-90.4,-0.0192,-0.0192,,,23 Jul 2024 at 12:41 PM,
48,2024-07-05,2024-07-16,11,TRADE 048 - 19Jul 2024 SPX A14,SPX,5357,5357,,58.72,0.011,0.011,,,16 Jul 2024 at 1:45 PM,
47,2024-06-28,2024-07-01,3,TRADE 047 - 12Jul 2024 SPX A14,SPX,2667,2667,,116.76,0.0438,0.0438,,,1 Jul 2024 at 3:27 PM,
46,2024-06-21,2024-06-24,3,TRADE 046 - 5Jul 2024 SPX A14,SPX,2616,2616,,137.84,0.0527,0.0527,,,24 Jun 2024 at 3:25 PM,
45,2024-06-14,2024-06-20,6,TRADE 045 - 28Jun 2024 SPX A14,SPX,4954,4954,,226.76,0.0458,0.0458,,,20 Jun 2024 at 3:36 PM,
44,2024-06-07,2024-06-10,3,TRADE 044 - 21Jun 2024 SPX A14,SPX,2476,2476,,107.84,0.0436,0.0436,,,10 Jun 2024 at 12:49 PM,
43,2024-05-31,2024-06-07,7,TRADE 043 - 14Jun 2024 SPX A14,SPX,3309,3309,,141.76,0.0428,0.0428,,,7 Jun 2024 at 5:06 PM,
42,2024-05-24,2024-05-31,7,TRADE 042 - 7Jun 2024 SPX A14,SPX,6132,6132,,155.68,0.0254,0.0254,,,1 Jun 2024 at 12:16 AM,
41,2024-05-17,2024-05-23,6,TRADE 041 - 31May 2024 SPX A14,SPX,4567,4567,,194.8,0.0427,0.0427,,,23 May 2024 at 11:01 AM,
40,2024-05-10,2024-05-22,12,TRADE 040 - 24May 2024 SPX A14,SPX,3054,3054,,-123.24,-0.0404,-0.0404,,,22 May 2024 at 7:35 PM,
39,2024-05-03,2024-05-14,11,TRADE 039 - 17 May 2024 SPX A14,SPX,4657,4657,,-121.28,-0.026,-0.026,,,15 May 2024 at 2:05 AM,
38,2024-04-26,2024-04-29,3,TRADE 038 - 10 May 2024 SPX A14,SPX,3656,3656,,157.84,0.0432,0.0432,,,29 Apr 2024 at 7:41 PM,
37,2024-04-19,2024-04-22,3,TRADE 037 - 3 May 2024 SPX A14,SPX,2586,2586,,127.84,0.0494,0.0494,,,22 Apr 2024 at 1:26 PM,
36,2024-04-12,2024-04-15,3,TRADE 036 - 19 Apr 2024 SPX A14,SPX,2446,2446,,267.84,0.1095,0.1095,,,15 Apr 2024 at 10:43 AM,
35,2024-04-05,2024-04-09,4,TRADE 035 - 19 Apr 2024 SPX A14,SPX,2578,2578,,89.8,0.0348,0.0348,,,9 Apr 2024 at 11:44 PM,
34,2024-04-02,2024-04-08,6,TRADE 034 - 12 Apr 2024 SPX A14,SPX,4453,4453,,249.8,0.0561,0.0561,,,8 Apr 2024 at 11:00 AM,
33,2024-03-22,2024-03-25,3,TRADE 033 - 5 Apr 2024 SPX A14,SPX,3636,3636,,177.84,0.0489,0.0489,,,25 Mar 2024 at 4:35 PM,
32,2024-03-15,2024-03-27,12,TRADE 032 - 28 Mar 2024 SPX A14,SPX,4169,4169,,-178.44,-0.0428,-0.0428,,,27 Mar 2024 at 12:05 PM,
31,2024-03-08,2024-03-12,4,TRADE 031 - 22 Mar 2024 SPX A14,SPX,2930,2930,,126.76,0.0433,0.0433,,,12 Mar 2024 at 3:52 PM,
30,2024-03-01,2024-03-12,11,TRADE 030 - 15 Mar 2024 SPX A14,SPX,3894,3894,,238.72,0.0613,0.0613,,,12 Mar 2024 at 12:41 PM,
29,2024-02-23,2024-02-27,4,TRADE 029 - 8 Mar 2024 SPX A14,SPX,3526,3526,,207.84,0.0589,0.0589,,,6 Mar 2024 at 3:05 PM,
28,2024-02-16,2024-02-26,10,TRADE 028 - 1 Mar 2024 SPX A14,SPX,5395,5395,,-251.68,-0.0467,-0.0467,,,6 Mar 2024 at 3:05 PM,
27,2024-02-09,2024-02-12,3,TRADE 027 - 23 Feb 2024 SPX A14,SPX,2838,2838,,124.8,0.044,0.044,,,16 Feb 2024 at 11:52 AM,
26,2024-02-02,2024-02-06,4,TRADE 026 - 16 Feb 2024 SPX A14,SPX,4633,4633,,219.8,0.0474,0.0474,,,16 Feb 2024 at 11:50 AM,
25,2024-01-26,2024-01-30,4,TRADE 025 - 9 Feb 2024 SPX A14,SPX,4897,4897,,144.8,0.0296,0.0296,,,16 Feb 2024 at 11:46 AM,
24,2024-01-19,2024-01-30,11,TRADE 024 - 2 Feb 2024 SPX A14,SPX,3802,3802,,-204.32,-0.0537,-0.0537,,,16 Feb 2024 at 11:47 AM,
23,2024-01-12,2024-01-18,6,TRADE 023 - 2 Feb 2024 SPX A14,SPX,4822,4822,,189.8,0.0394,0.0394,,,16 Feb 2024 at 11:42 AM,
22,2024-01-06,2024-01-18,12,TRADE 022 - 19 Jan 2024 SPX A14,SPX,4675,4675,,253.52,0.0542,0.0542,,,16 Feb 2024 at 11:42 AM,
21,2024-01-06,2024-01-11,5,TRADE 021 - 12 Jan 2024 SPX A14,SPX,5549,5549,,-96.92,-0.0175,-0.0175,,,14 Jan 2024 at 7:33 PM,
20,2023-12-22,2023-12-22,0,TRADE 020 - 29 Dec 2023 SPX A14,SPX,2612,2612,,87.84,0.0336,0.0336,,,6 Jan 2024 at 6:14 PM,
19,2023-12-15,2023-12-22,7,TRADE 019 - 29 Dec 2023 SPX A14,SPX,4040,4040,,171.76,0.0425,0.0425,,,24 Dec 2023 at 5:50 PM,
18,2023-12-01,2023-12-07,6,TRADE 018 - 15 Dec 2023 SPX A14,SPX,3743,3743,,114.8,0.0307,0.0307,,,7 Dec 2023 at 9:48 PM,
17,2023-11-29,2023-12-06,7,TRADE 017 - 8 Dec 2023 SPX A14,SPX,3653,3653,,194.8,0.0533,0.0533,,,7 Dec 2023 at 9:47 PM,
16,2023-11-17,2023-11-27,10,TRADE 016 - 27 Nov 2023 SPX A14,SPX,3668,3668,,209.6,0.0571,0.0571,,,7 Dec 2023 at 9:47 PM,
15,2023-11-10,2023-11-17,7,TRADE 015 - 24 Nov 2023 SPX A14,SPX,3000,2943,,-467.16,-0.1587,-0.1557,,,7 Dec 2023 at 9:48 PM,
14,2023-11-03,2023-11-08,5,TRADE 014 - 17 Nov 2023 SPX A14,SPX,2857,2857,,151.76,0.0531,0.0531,,,9 Nov 2023 at 11:23 AM,
13,2023-10-27,2023-10-31,4,TRADE 013 - 3 Nov 2023 SPX A14,SPX,2200,2183,,144.8,0.0663,0.0658,,,31 Oct 2023 at 6:58 PM,
12,2023-10-13,2023-10-24,11,TRADE 012 - 27 Oct 2023 SPX A14,SPX,2392,2392,,147.64,0.0617,0.0617,,,24 Oct 2023 at 12:07 PM,
11,2023-10-06,2023-10-17,11,TRADE 011 - 20 Oct 2023 SPX A14,SPX,3262,3436,,-272.8,-0.0794,-0.0836,,,23 Oct 2023 at 4:16 PM,
10,2023-09-29,2023-10-05,6,TRADE 010 - 13 Oct 2023 SPX A14,SPX,4139,4139,,126.76,0.0306,0.0306,,,6 Oct 2023 at 10:22 AM,
9,2023-09-22,2023-09-28,6,TRADE 009 - 6 Oct 2023 SPX A14,SPX,2887,2887,,131.76,0.0456,0.0456,,,29 Sep 2023 at 6:16 AM,
8,2023-09-15,2023-09-20,5,TRADE 008 - 29 Sep 2023 SPX A14,SPX,3676,3676,,107.84,0.0293,0.0293,,,29 Sep 2023 at 6:16 AM,
7,2023-09-08,2023-09-12,4,TRADE 007 - 20 Sep 2023 SPX A14,SPX,2872,2872,,94.8,0.033,0.033,,,13 Sep 2023 at 11:59 AM,
6,2023-09-05,2023-09-08,3,TRADE 006 - 15 Sep 2023 SPX A14,SPX,4847,4847,,248.72,0.0513,0.0513,,,29 Sep 2023 at 6:16 AM,
5,2023-08-28,2023-09-01,4,TRADE 005 - 8 Sep 2023 SPX A14,SPX,3628,3628,,-283.24,-0.0781,-0.0781,,,29 Sep 2023 at 6:17 AM,
4,2023-08-18,2023-08-22,4,TRADE 004 - 1 Sep 2023 SPX A14,SPX,3044,3044,,151.76,0.0499,0.0499,,,22 Aug 2023 at 6:16 PM,
3,2023-08-11,2023-08-14,3,TRADE 003 - 25 Aug 2023 SPX A14,SPX,3200,2677,,147.84,0.0552,0.0462,,,15 Aug 2023 at 2:22 AM,
2,2023-08-04,2023-08-09,5,TRADE 002 - 18 Aug 2023 SPX A14,SPX,2650,2892,,149.8,0.0518,0.0565,,,9 Aug 2023 at 11:35 AM,
1,2023-07-30,2023-07-31,1,TRADE 001 - 11 Aug 2023 SPX A14,SPX,2550,2550,,117.84,0.0462,0.0462,,,9 Aug 2023 at 11:34 AM,
